Gene,Statistic,Percentage,Cell Types
JPT2,0 out of 24,0.00%,
JPX,3 out of 24,12.50%,Astrocytes 4; Astrocytes 5; Oligodendrocytes 3
JRK,1 out of 24,4.17%,Astrocytes microglia 23
JTB,1 out of 24,4.17%,GABA like neurons 14
JUN,4 out of 24,16.67%,Astrocytes 8; Oligodendrocyte progenitor cells 7; Endothelial cells 9; GABA neurons expressing GLU receptors 22
JUNB,3 out of 24,12.50%,Astrocytes 8; Astrocytes 4; Astrocytes 5
JUND,6 out of 24,25.00%,Astrocytes 8; GLU like neurons 17; Astrocytes 4; Oligodendrocytes 2; GABA like neurons 14; Microglia 19
JUP,0 out of 24,0.00%,
KALRN,1 out of 24,4.17%,Astrocytes microglia 23
KANK1,0 out of 24,0.00%,
KANK2,0 out of 24,0.00%,
KANK3,0 out of 24,0.00%,
KANK4,1 out of 24,4.17%,Oligodendrocytes 2
KANSL1,1 out of 24,4.17%,Oligodendrocytes 20
KANSL1L,3 out of 24,12.50%,Endothelial cells 9; Oligodendrocytes 3; Oligodendrocytes 0
KANSL2,0 out of 24,0.00%,
KANSL3,0 out of 24,0.00%,
KANTR,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
KARS,0 out of 24,0.00%,
KAT14,0 out of 24,0.00%,
KAT2A,1 out of 24,4.17%,Astrocytes 8
KAT2B,3 out of 24,12.50%,GABA neurons expressing GLU receptors 22; Astrocytes 15; Oligodendrocytes 0
KAT5,1 out of 24,4.17%,Astrocytes microglia 23
KAT6A,2 out of 24,8.33%,Oligodendrocytes 10; Oligodendrocytes 0
KAT6B,1 out of 24,4.17%,GLU like neurons 17
KAT7,0 out of 24,0.00%,
KAT8,0 out of 24,0.00%,
KATNA1,1 out of 24,4.17%,Connective tissue cells 21
KATNAL1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
KATNAL2,1 out of 24,4.17%,Oligodendrocytes 20
KATNB1,0 out of 24,0.00%,
KATNBL1,0 out of 24,0.00%,
KAZN,4 out of 24,16.67%,GABA neurons expressing GLU receptors 22; Oligodendrocyte progenitor cells 7; GABA like neurons 14; Astrocytes 15
KBTBD11,0 out of 24,0.00%,
KBTBD12,0 out of 24,0.00%,
KBTBD2,0 out of 24,0.00%,
KBTBD3,0 out of 24,0.00%,
KBTBD6,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
KCMF1,0 out of 24,0.00%,
KCNA1,1 out of 24,4.17%,GABA neurons expressing GABA receptors 13
KCNA2,1 out of 24,4.17%,Astrocytes 15
KCNAB1,4 out of 24,16.67%,Endothelial cells 9; Oligodendrocytes 3; Oligodendrocyte progenitor cells 12; Oligodendrocytes 0
KCNAB2,0 out of 24,0.00%,
KCNAB3,0 out of 24,0.00%,
KCNB1,1 out of 24,4.17%,Astrocytes 15
KCNB2,2 out of 24,8.33%,DA like neurons 11; GABA like neurons 14
KCNC1,1 out of 24,4.17%,GABA neurons expressing GABA receptors 13
KCNC2,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
KCNC3,0 out of 24,0.00%,
KCNC4,0 out of 24,0.00%,
KCND2,3 out of 24,12.50%,Astrocytes 8; GLU like neurons 17; Astrocytes microglia 23
KCND3,2 out of 24,8.33%,GLU like neurons 17; DA neurons 6
KCNE4,0 out of 24,0.00%,
KCNF1,0 out of 24,0.00%,
KCNH1,0 out of 24,0.00%,
KCNH2,0 out of 24,0.00%,
KCNH5,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
KCNH7,0 out of 24,0.00%,
KCNH8,3 out of 24,12.50%,GLU like neurons 17; Oligodendrocytes 2; Oligodendrocytes 0
KCNIP1,3 out of 24,12.50%,Astrocytes microglia 23; Microglia 1; Microglia 19
KCNIP2,0 out of 24,0.00%,
KCNIP3,0 out of 24,0.00%,
KCNIP4,5 out of 24,20.83%,Oligodendrocyte progenitor cells 12; GABA neurons expressing GLU receptors 22; GLU like neurons 17; Oligodendrocyte progenitor cells 7; Oligodendrocytes 16
KCNJ10,1 out of 24,4.17%,Astrocytes 4
KCNJ16,0 out of 24,0.00%,
KCNJ2,1 out of 24,4.17%,Oligodendrocytes 3
KCNJ3,0 out of 24,0.00%,
KCNJ5,1 out of 24,4.17%,Microglia 1
KCNJ6,4 out of 24,16.67%,Astrocytes microglia 23; DA like neurons 11; DA neurons 6; Endothelial cells 9
KCNJ8,0 out of 24,0.00%,
KCNJ9,0 out of 24,0.00%,
KCNK1,3 out of 24,12.50%,GABA neurons expressing GABA receptors 13; Oligodendrocytes 2; GABA like neurons 14
KCNK10,0 out of 24,0.00%,
KCNK12,0 out of 24,0.00%,
KCNK13,0 out of 24,0.00%,
KCNK15-AS1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
KCNK17,0 out of 24,0.00%,
KCNK2,1 out of 24,4.17%,Connective tissue cells 21
KCNK3,0 out of 24,0.00%,
KCNK6,0 out of 24,0.00%,
KCNK9,0 out of 24,0.00%,
KCNMA1,3 out of 24,12.50%,Oligodendrocytes 10; Oligodendrocyte progenitor cells 12; Astrocytes 15
KCNMB1,0 out of 24,0.00%,
KCNMB2-AS1,2 out of 24,8.33%,Astrocytes 8; Oligodendrocyte progenitor cells 7
KCNMB4,1 out of 24,4.17%,Oligodendrocytes 2
KCNN2,0 out of 24,0.00%,
KCNN3,0 out of 24,0.00%,
KCNQ1,0 out of 24,0.00%,
KCNQ1OT1,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocytes 16; GABA like neurons 14
KCNQ2,1 out of 24,4.17%,GABA like neurons 14
KCNQ3,5 out of 24,20.83%,Astrocytes microglia 23; GLU like neurons 17; GABA neurons expressing GLU receptors 22; DA like neurons 11; Microglia 19
KCNQ5,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; GLU like neurons 17
KCNS3,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
KCNT1,1 out of 24,4.17%,GABA like neurons 14
KCNT2,0 out of 24,0.00%,
KCTD1,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; Oligodendrocytes 20
KCTD10,2 out of 24,8.33%,Astrocytes microglia 23; Connective tissue cells 21
KCTD12,0 out of 24,0.00%,
KCTD13,0 out of 24,0.00%,
KCTD15,1 out of 24,4.17%,Connective tissue cells 21
KCTD16,0 out of 24,0.00%,
KCTD17,0 out of 24,0.00%,
KCTD18,0 out of 24,0.00%,
KCTD2,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
KCTD20,0 out of 24,0.00%,
KCTD3,2 out of 24,8.33%,Oligodendrocytes 3; Oligodendrocyte progenitor cells 7
KCTD5,0 out of 24,0.00%,
KCTD6,0 out of 24,0.00%,
KCTD8,3 out of 24,12.50%,Endothelial cells 9; GLU like neurons 17; Oligodendrocytes 16
KCTD9,0 out of 24,0.00%,
KDELC2,1 out of 24,4.17%,Astrocytes microglia 23
KDELR1,0 out of 24,0.00%,
KDM1A,1 out of 24,4.17%,Connective tissue cells 21
KDM1B,0 out of 24,0.00%,
KDM2A,3 out of 24,12.50%,Astrocytes 8; DA like neurons 11; GABA like neurons 14
KDM2B,1 out of 24,4.17%,GABA like neurons 14
KDM3A,0 out of 24,0.00%,
KDM3B,0 out of 24,0.00%,
KDM4B,1 out of 24,4.17%,GABA like neurons 14
KDM4C,1 out of 24,4.17%,Oligodendrocytes 20
KDM5A,0 out of 24,0.00%,
KDM5B,0 out of 24,0.00%,
KDM5C,0 out of 24,0.00%,
KDM5D,0 out of 24,0.00%,
KDM6A,1 out of 24,4.17%,Oligodendrocytes 20
KDM6B,1 out of 24,4.17%,Astrocytes microglia 23
KDM7A,1 out of 24,4.17%,Oligodendrocytes 16
KDR,0 out of 24,0.00%,
KDSR,0 out of 24,0.00%,
KEAP1,1 out of 24,4.17%,Astrocytes microglia 23
KEL,1 out of 24,4.17%,Oligodendrocytes 20
KHDC1,0 out of 24,0.00%,
KHDC4,0 out of 24,0.00%,
KHDRBS1,0 out of 24,0.00%,
KHDRBS2,3 out of 24,12.50%,DA like neurons 11; Oligodendrocytes 10; Oligodendrocyte progenitor cells 12
KHDRBS3,2 out of 24,8.33%,Oligodendrocytes 3; Microglia 19
KHNYN,0 out of 24,0.00%,
KHSRP,0 out of 24,0.00%,
KIAA0040,0 out of 24,0.00%,
KIAA0100,1 out of 24,4.17%,Astrocytes microglia 23
KIAA0232,0 out of 24,0.00%,
KIAA0319,1 out of 24,4.17%,DA like neurons 11
KIAA0319L,0 out of 24,0.00%,
KIAA0355,0 out of 24,0.00%,
KIAA0513,0 out of 24,0.00%,
KIAA0556,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; DA like neurons 11
KIAA0586,0 out of 24,0.00%,
KIAA0753,0 out of 24,0.00%,
KIAA0825,1 out of 24,4.17%,DA like neurons 11
KIAA0895,0 out of 24,0.00%,
KIAA0895L,0 out of 24,0.00%,
KIAA0930,1 out of 24,4.17%,Astrocytes 8
KIAA1024,0 out of 24,0.00%,
KIAA1109,1 out of 24,4.17%,Endothelial cells 9
KIAA1143,0 out of 24,0.00%,
KIAA1147,1 out of 24,4.17%,Oligodendrocytes 2
KIAA1191,0 out of 24,0.00%,
KIAA1211,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; Astrocytes 15
KIAA1211L,0 out of 24,0.00%,
KIAA1217,3 out of 24,12.50%,Astrocytes 8; Connective tissue cells 21; GABA neurons expressing GLU receptors 22
KIAA1257,0 out of 24,0.00%,
KIAA1324,0 out of 24,0.00%,
KIAA1324L,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; Oligodendrocytes 0
KIAA1328,0 out of 24,0.00%,
KIAA1468,0 out of 24,0.00%,
KIAA1549,0 out of 24,0.00%,
KIAA1549L,0 out of 24,0.00%,
KIAA1551,1 out of 24,4.17%,Microglia 1
KIAA1586,0 out of 24,0.00%,
KIAA1614,0 out of 24,0.00%,
KIAA1671,4 out of 24,16.67%,Astrocytes 8; Astrocytes 5; GABA like neurons 14; GLU like neurons 17
KIAA1755,3 out of 24,12.50%,Astrocytes 8; Astrocytes 5; Astrocytes microglia 23
KIAA1841,0 out of 24,0.00%,
KIAA1958,1 out of 24,4.17%,Oligodendrocytes 0
KIAA2012,0 out of 24,0.00%,
KIAA2013,0 out of 24,0.00%,
KIAA2026,2 out of 24,8.33%,Astrocytes 4; Astrocytes 5
KIDINS220,0 out of 24,0.00%,
KIF13A,2 out of 24,8.33%,Endothelial cells 9; Oligodendrocyte progenitor cells 7
KIF13B,2 out of 24,8.33%,Oligodendrocyte progenitor cells 12; T cells 18
KIF16B,1 out of 24,4.17%,Microglia 19
KIF19,1 out of 24,4.17%,Oligodendrocytes 3
KIF1A,2 out of 24,8.33%,Oligodendrocytes 10; Oligodendrocyte progenitor cells 12
KIF1B,1 out of 24,4.17%,DA neurons 6
KIF1BP,1 out of 24,4.17%,Astrocytes microglia 23
KIF1C,1 out of 24,4.17%,Astrocytes microglia 23
KIF20B,1 out of 24,4.17%,T cells 18
KIF21A,3 out of 24,12.50%,Endothelial cells 9; Oligodendrocytes 10; Oligodendrocyte progenitor cells 12
KIF21B,0 out of 24,0.00%,
KIF26B,5 out of 24,20.83%,Oligodendrocyte progenitor cells 12; GABA neurons expressing GLU receptors 22; Oligodendrocyte progenitor cells 7; DA like neurons 11; Microglia 1
KIF27,1 out of 24,4.17%,Oligodendrocytes 20
KIF2A,1 out of 24,4.17%,Astrocytes microglia 23
KIF3A,5 out of 24,20.83%,Oligodendrocyte progenitor cells 12; Oligodendrocytes 10; Oligodendrocytes 16; Endothelial cells 9; DA neurons 6
KIF3B,0 out of 24,0.00%,
KIF3C,2 out of 24,8.33%,DA neurons 6; Oligodendrocytes 10
KIF5A,0 out of 24,0.00%,
KIF5B,0 out of 24,0.00%,
KIF5C,0 out of 24,0.00%,
KIF6,2 out of 24,8.33%,Oligodendrocytes 20; Oligodendrocytes 10
KIF7,0 out of 24,0.00%,
KIF9-AS1,2 out of 24,8.33%,DA like neurons 11; GABA like neurons 14
KIFAP3,2 out of 24,8.33%,Astrocytes microglia 23; GABA neurons expressing GABA receptors 13
KIFC2,0 out of 24,0.00%,
KIFC3,0 out of 24,0.00%,
KIN,3 out of 24,12.50%,Astrocytes microglia 23; Oligodendrocytes 20; Connective tissue cells 21
KIRREL1,0 out of 24,0.00%,
KIRREL3,5 out of 24,20.83%,Astrocytes microglia 23; Oligodendrocyte progenitor cells 12; GABA neurons expressing GLU receptors 22; Oligodendrocytes 10; Oligodendrocytes 2
KIT,0 out of 24,0.00%,
KITLG,0 out of 24,0.00%,
KIZ,1 out of 24,4.17%,Oligodendrocytes 0
KIZ-AS1,0 out of 24,0.00%,
KLC1,3 out of 24,12.50%,DA like neurons 11; Oligodendrocytes 10; GABA like neurons 14
KLC2,0 out of 24,0.00%,
KLC4,0 out of 24,0.00%,
KLF10,0 out of 24,0.00%,
KLF11,0 out of 24,0.00%,
KLF12,1 out of 24,4.17%,GABA like neurons 14
KLF13,1 out of 24,4.17%,Connective tissue cells 21
KLF15,3 out of 24,12.50%,Oligodendrocytes 16; Oligodendrocytes 2; Oligodendrocytes 3
KLF2,1 out of 24,4.17%,T cells 18
KLF3,1 out of 24,4.17%,T cells 18
KLF4,1 out of 24,4.17%,Endothelial cells 9
KLF6,1 out of 24,4.17%,Endothelial cells 9
KLF7,1 out of 24,4.17%,Oligodendrocytes 0
KLF9,3 out of 24,12.50%,Oligodendrocyte progenitor cells 7; Oligodendrocytes 3; Oligodendrocytes 2
KLHDC1,0 out of 24,0.00%,
KLHDC10,0 out of 24,0.00%,
KLHDC2,0 out of 24,0.00%,
KLHDC3,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
KLHDC4,0 out of 24,0.00%,
KLHDC8A,0 out of 24,0.00%,
KLHDC8B,0 out of 24,0.00%,
KLHL1,2 out of 24,8.33%,DA like neurons 11; DA neurons 6
KLHL12,0 out of 24,0.00%,
KLHL13,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; DA neurons 6
KLHL18,1 out of 24,4.17%,Connective tissue cells 21
KLHL2,2 out of 24,8.33%,Microglia 1; Microglia 19
KLHL20,0 out of 24,0.00%,
KLHL21,1 out of 24,4.17%,Astrocytes microglia 23
KLHL22,2 out of 24,8.33%,DA like neurons 11; GABA like neurons 14
KLHL23,0 out of 24,0.00%,
KLHL24,1 out of 24,4.17%,Microglia 1
KLHL25,0 out of 24,0.00%,
KLHL28,1 out of 24,4.17%,Astrocytes microglia 23
KLHL29,0 out of 24,0.00%,
KLHL3,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocyte progenitor cells 12; Oligodendrocytes 0
KLHL32,3 out of 24,12.50%,Endothelial cells 9; DA like neurons 11; Astrocytes 15
KLHL36,0 out of 24,0.00%,
KLHL4,1 out of 24,4.17%,Oligodendrocytes 3
KLHL42,0 out of 24,0.00%,
KLHL5,0 out of 24,0.00%,
KLHL6,2 out of 24,8.33%,Astrocytes microglia 23; Microglia 1
KLHL7,0 out of 24,0.00%,
KLHL8,0 out of 24,0.00%,
KLHL9,1 out of 24,4.17%,Connective tissue cells 21
KLK6,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocytes 2; Oligodendrocytes 0
KLKB1,0 out of 24,0.00%,
KLRB1,0 out of 24,0.00%,
KLRC1,1 out of 24,4.17%,T cells 18
KLRC4-KLRK1,0 out of 24,0.00%,
KLRD1,0 out of 24,0.00%,
KLRF1,1 out of 24,4.17%,T cells 18
KLRG1,1 out of 24,4.17%,T cells 18
KMT2A,2 out of 24,8.33%,Oligodendrocytes 3; Oligodendrocytes 0
KMT2B,0 out of 24,0.00%,
KMT2C,1 out of 24,4.17%,Endothelial cells 9
KMT2D,0 out of 24,0.00%,
KMT2E,1 out of 24,4.17%,Oligodendrocytes 16
KMT5A,0 out of 24,0.00%,
KMT5B,0 out of 24,0.00%,
KMT5C,1 out of 24,4.17%,Oligodendrocytes 20
KNDC1,2 out of 24,8.33%,Astrocytes 8; Astrocytes 4
KNOP1,1 out of 24,4.17%,Astrocytes 4
KPNA1,0 out of 24,0.00%,
KPNA2,0 out of 24,0.00%,
KPNA3,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
KPNA4,0 out of 24,0.00%,
KPNA5,0 out of 24,0.00%,
KPNA6,0 out of 24,0.00%,
KPNB1,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
KRAS,0 out of 24,0.00%,
KRBOX4,1 out of 24,4.17%,Connective tissue cells 21
KRCC1,0 out of 24,0.00%,
KREMEN1,0 out of 24,0.00%,
KRI1,0 out of 24,0.00%,
KRIT1,0 out of 24,0.00%,
KRR1,0 out of 24,0.00%,
KRT10,1 out of 24,4.17%,Astrocytes microglia 23
KRTAP5-AS1,0 out of 24,0.00%,
KSR1,3 out of 24,12.50%,Endothelial cells 9; Oligodendrocytes 20; Astrocytes 5
KSR2,2 out of 24,8.33%,DA like neurons 11; GABA like neurons 14
KTN1,0 out of 24,0.00%,
KTN1-AS1,0 out of 24,0.00%,
KXD1,0 out of 24,0.00%,
KY,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
KYAT1,1 out of 24,4.17%,GABA like neurons 14
KYAT3,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
KYNU,1 out of 24,4.17%,Microglia 19
L1CAM,0 out of 24,0.00%,
L2HGDH,0 out of 24,0.00%,
L3HYPDH,1 out of 24,4.17%,Astrocytes microglia 23
L3MBTL1,1 out of 24,4.17%,Astrocytes 15
L3MBTL2,0 out of 24,0.00%,
L3MBTL3,0 out of 24,0.00%,
L3MBTL4,3 out of 24,12.50%,Astrocytes 8; Oligodendrocytes 3; Oligodendrocyte progenitor cells 7
LACTB,0 out of 24,0.00%,
LACTB2,0 out of 24,0.00%,
LAG3,1 out of 24,4.17%,T cells 18
LAIR1,0 out of 24,0.00%,
LAMA1,0 out of 24,0.00%,
LAMA2,4 out of 24,16.67%,Endothelial cells 9; Oligodendrocytes 20; Oligodendrocytes 3; Oligodendrocytes 0
LAMA3,1 out of 24,4.17%,Endothelial cells 9
LAMA4,2 out of 24,8.33%,Oligodendrocyte progenitor cells 12; Astrocytes 15
LAMA5,0 out of 24,0.00%,
LAMB1,0 out of 24,0.00%,
LAMB2,0 out of 24,0.00%,
LAMC1,0 out of 24,0.00%,
LAMC3,1 out of 24,4.17%,Endothelial cells 9
LAMP1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
LAMP2,8 out of 24,33.33%,Oligodendrocyte progenitor cells 12; Astrocytes 8; Microglia 19; GABA neurons expressing GLU receptors 22; DA like neurons 11; Oligodendrocytes 3; Oligodendrocytes 2; Oligodendrocytes 0
LAMTOR1,5 out of 24,20.83%,Oligodendrocytes 20; Connective tissue cells 21; DA like neurons 11; Oligodendrocytes 16; GABA like neurons 14
LAMTOR3,0 out of 24,0.00%,
LAMTOR4,1 out of 24,4.17%,Endothelial cells 9
LAMTOR5,0 out of 24,0.00%,
LANCL1,2 out of 24,8.33%,Astrocytes 8; Oligodendrocyte progenitor cells 12
LANCL1-AS1,1 out of 24,4.17%,Oligodendrocytes 20
LANCL2,2 out of 24,8.33%,Astrocytes microglia 23; Oligodendrocytes 2
LAP3,2 out of 24,8.33%,Microglia 1; Microglia 19
LAPTM4A,0 out of 24,0.00%,
LAPTM4B,1 out of 24,4.17%,Astrocytes 15
LAPTM5,0 out of 24,0.00%,
LARGE1,1 out of 24,4.17%,GLU like neurons 17
LARP1,1 out of 24,4.17%,DA neurons 6
LARP1B,1 out of 24,4.17%,Astrocytes 5
LARP4,2 out of 24,8.33%,Oligodendrocyte progenitor cells 7; T cells 18
LARP4B,2 out of 24,8.33%,GLU like neurons 17; Oligodendrocytes 10
LARP6,0 out of 24,0.00%,
LARP7,1 out of 24,4.17%,Astrocytes 15
LARS,0 out of 24,0.00%,
LARS2,0 out of 24,0.00%,
LAS1L,0 out of 24,0.00%,
LASP1,0 out of 24,0.00%,
LAT,0 out of 24,0.00%,
LAT2,0 out of 24,0.00%,
LATS1,0 out of 24,0.00%,
LATS2,0 out of 24,0.00%,
LAX1,0 out of 24,0.00%,
LAYN,0 out of 24,0.00%,
LBH,0 out of 24,0.00%,
LBR,0 out of 24,0.00%,
LCA5,1 out of 24,4.17%,Astrocytes microglia 23
LCAT,0 out of 24,0.00%,
LCK,0 out of 24,0.00%,
LCLAT1,0 out of 24,0.00%,
LCMT1,0 out of 24,0.00%,
LCN12,0 out of 24,0.00%,
LCNL1,1 out of 24,4.17%,Astrocytes 4
LCOR,1 out of 24,4.17%,Astrocytes 4
LCORL,4 out of 24,16.67%,Oligodendrocytes 10; Oligodendrocytes 3; Oligodendrocyte progenitor cells 12; Oligodendrocytes 0
LCP1,1 out of 24,4.17%,Microglia 19
LCP2,0 out of 24,0.00%,
LDAH,0 out of 24,0.00%,
LDB1,0 out of 24,0.00%,
LDB2,0 out of 24,0.00%,
LDB3,3 out of 24,12.50%,Oligodendrocytes 3; Oligodendrocytes 2; Oligodendrocytes 0
LDHA,3 out of 24,12.50%,DA like neurons 11; GABA neurons expressing GABA receptors 13; GABA like neurons 14
LDHB,10 out of 24,41.67%,Astrocytes 8; GABA neurons expressing GLU receptors 22; GLU like neurons 17; Oligodendrocytes 10; DA like neurons 11; Oligodendrocytes 16; Oligodendrocytes 3; GABA like neurons 14; GABA neurons expressing GABA receptors 13; DA neurons 6
LDLR,2 out of 24,8.33%,Endothelial cells 9; Oligodendrocyte progenitor cells 7
LDLRAD3,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
LDLRAD4,3 out of 24,12.50%,Astrocytes 8; Oligodendrocytes 10; Oligodendrocytes 2
LDLRAP1,0 out of 24,0.00%,
LDOC1,0 out of 24,0.00%,
LEF1,0 out of 24,0.00%,
LEKR1,0 out of 24,0.00%,
LEMD1,0 out of 24,0.00%,
LEMD2,0 out of 24,0.00%,
LEMD3,0 out of 24,0.00%,
LENG8,0 out of 24,0.00%,
LEO1,0 out of 24,0.00%,
LEPR,0 out of 24,0.00%,
LEPROTL1,1 out of 24,4.17%,Connective tissue cells 21
LETM1,0 out of 24,0.00%,
LETMD1,0 out of 24,0.00%,
LFNG,0 out of 24,0.00%,
LGALS1,8 out of 24,33.33%,Astrocytes microglia 23; Oligodendrocytes 20; Connective tissue cells 21; Oligodendrocytes 3; Oligodendrocytes 2; Endothelial cells 9; GABA neurons expressing GABA receptors 13; DA neurons 6
LGALS3,0 out of 24,0.00%,
LGALS3BP,2 out of 24,8.33%,Oligodendrocytes 2; Oligodendrocyte progenitor cells 12
LGALS8,0 out of 24,0.00%,
LGALS9,0 out of 24,0.00%,
LGI1,1 out of 24,4.17%,Astrocytes 15
LGI2,1 out of 24,4.17%,GABA neurons expressing GABA receptors 13
LGI3,0 out of 24,0.00%,
LGI4,0 out of 24,0.00%,
LGMN,2 out of 24,8.33%,Astrocytes microglia 23; Microglia 19
LGR4,1 out of 24,4.17%,Oligodendrocytes 3
LGR5,2 out of 24,8.33%,Oligodendrocytes 3; Oligodendrocytes 2
LGR6,3 out of 24,12.50%,Astrocytes 8; Astrocytes 4; Astrocytes microglia 23
LHFPL1,0 out of 24,0.00%,
LHFPL2,3 out of 24,12.50%,Oligodendrocytes 10; Oligodendrocytes 3; Microglia 19
LHFPL3,3 out of 24,12.50%,GLU like neurons 17; DA like neurons 11; Oligodendrocyte progenitor cells 12
LHFPL4,0 out of 24,0.00%,
LHFPL5,0 out of 24,0.00%,
LHFPL6,2 out of 24,8.33%,GLU like neurons 17; Astrocytes 4
LHPP,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
LHX1,0 out of 24,0.00%,
LHX1-DT,0 out of 24,0.00%,
LHX5-AS1,0 out of 24,0.00%,
LIAS,1 out of 24,4.17%,Astrocytes 15
LIFR,3 out of 24,12.50%,GABA neurons expressing GLU receptors 22; GABA like neurons 14; Oligodendrocytes 0
LIFR-AS1,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
LIG1,0 out of 24,0.00%,
LIG4,1 out of 24,4.17%,Astrocytes microglia 23
LILRA2,0 out of 24,0.00%,
LILRA4,1 out of 24,4.17%,Astrocytes microglia 23
LILRB1,0 out of 24,0.00%,
LILRB4,0 out of 24,0.00%,
LIMA1,1 out of 24,4.17%,Oligodendrocyte progenitor cells 7
LIMCH1,4 out of 24,16.67%,GABA neurons expressing GLU receptors 22; GABA neurons expressing GABA receptors 13; Oligodendrocytes 10; Oligodendrocyte progenitor cells 12
LIMD1,0 out of 24,0.00%,
LIMK1,0 out of 24,0.00%,
LIMK2,1 out of 24,4.17%,Astrocytes 15
LIMS1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
LIMS2,0 out of 24,0.00%,
LIN28B,0 out of 24,0.00%,
LIN28B-AS1,0 out of 24,0.00%,
LIN52,0 out of 24,0.00%,
LIN54,0 out of 24,0.00%,
LIN7A,0 out of 24,0.00%,
LIN7B,0 out of 24,0.00%,
LIN7C,0 out of 24,0.00%,
LINC00106,0 out of 24,0.00%,
LINC00158,0 out of 24,0.00%,
LINC00159,0 out of 24,0.00%,
LINC00237,0 out of 24,0.00%,
LINC00240,1 out of 24,4.17%,Oligodendrocytes 3
LINC00243,0 out of 24,0.00%,
LINC00265,0 out of 24,0.00%,
LINC00271,1 out of 24,4.17%,Astrocytes 5
LINC00276,0 out of 24,0.00%,
LINC00278,0 out of 24,0.00%,
LINC00298,0 out of 24,0.00%,
LINC00299,1 out of 24,4.17%,T cells 18
LINC00310,0 out of 24,0.00%,
LINC00320,1 out of 24,4.17%,Oligodendrocytes 0
LINC00342,0 out of 24,0.00%,
LINC00355,0 out of 24,0.00%,
LINC00407,0 out of 24,0.00%,
LINC00426,0 out of 24,0.00%,
LINC00461,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocyte progenitor cells 12; Astrocytes 15
LINC00472,0 out of 24,0.00%,
LINC00476,4 out of 24,16.67%,GABA neurons expressing GLU receptors 22; Oligodendrocyte progenitor cells 7; GABA like neurons 14; Astrocytes 15
LINC00486,5 out of 24,20.83%,Astrocytes microglia 23; Astrocytes 8; Astrocytes 5; Oligodendrocyte progenitor cells 7; Astrocytes 4
LINC00499,1 out of 24,4.17%,Astrocytes 5
LINC00504,0 out of 24,0.00%,
LINC00511,0 out of 24,0.00%,
LINC00513,3 out of 24,12.50%,Oligodendrocytes 3; Astrocytes 15; Oligodendrocytes 0
LINC00535,0 out of 24,0.00%,
LINC00578,0 out of 24,0.00%,
LINC00598,0 out of 24,0.00%,
LINC00599,0 out of 24,0.00%,
LINC00601,0 out of 24,0.00%,
LINC00607,1 out of 24,4.17%,Connective tissue cells 21
LINC00609,4 out of 24,16.67%,Astrocytes 8; Oligodendrocytes 0; Astrocytes 5; GABA neurons expressing GLU receptors 22
LINC00620,0 out of 24,0.00%,
LINC00623,0 out of 24,0.00%,
LINC00630,1 out of 24,4.17%,Astrocytes microglia 23
LINC00632,0 out of 24,0.00%,
LINC00639,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 16
LINC00649,0 out of 24,0.00%,
LINC00662,0 out of 24,0.00%,
LINC00665,0 out of 24,0.00%,
LINC00667,0 out of 24,0.00%,
LINC00672,0 out of 24,0.00%,
LINC00685,0 out of 24,0.00%,
LINC00836,2 out of 24,8.33%,Astrocytes microglia 23; Astrocytes 15
LINC00839,0 out of 24,0.00%,
LINC00842,0 out of 24,0.00%,
LINC00843,0 out of 24,0.00%,
LINC00844,0 out of 24,0.00%,
LINC00854,0 out of 24,0.00%,
LINC00861,0 out of 24,0.00%,
LINC00862,3 out of 24,12.50%,Astrocytes 5; Oligodendrocytes 2; Oligodendrocytes 3
LINC00877,1 out of 24,4.17%,Oligodendrocytes 20
