Gene,Statistic,Percentage,Cell Types
N4BP2,10 out of 24,41.67%,Astrocytes_microglia 23; T_cells 18; GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocyte_progenitor_cells 7; Microglia 19; Microglia 1; Connective_tissue_cells 21
N4BP2L1,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
N4BP2L2,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NAA11,5 out of 24,20.83%,Astrocytes_microglia 23; Astrocytes 8; Astrocytes 5; Astrocytes 4; Astrocytes 15
NAA15,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NAA16,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NAA20,15 out of 24,62.50%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Oligodendrocytes 0; GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 16; Oligodendrocytes 2; Oligodendrocytes 3; Microglia 19; DA_like_neurons 11; Microglia 1; Endothelial_cells 9; DA_neurons 6; Connective_tissue_cells 21
NAA25,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NAA30,7 out of 24,29.17%,Astrocytes_microglia 23; GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocyte_progenitor_cells 7; Endothelial_cells 9; Connective_tissue_cells 21
NAA35,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NAA38,11 out of 24,45.83%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; T_cells 18; GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6; Connective_tissue_cells 21
NAA40,4 out of 24,16.67%,Astrocytes_microglia 23; Microglia 1; GABA_like_neurons 14; Microglia 19
NAA50,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NAAA,7 out of 24,29.17%,Astrocytes_microglia 23; T_cells 18; GABA_like_neurons 14; GLU_like_neurons 17; Microglia 19; DA_like_neurons 11; Microglia 1
NAALAD2,12 out of 24,50.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocytes 2; Oligodendrocytes 0; Oligodendrocytes 3; DA_like_neurons 11; Oligodendrocyte_progenitor_cells 7
NAALADL2,21 out of 24,87.50%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NAB1,19 out of 24,79.17%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Microglia 1; Astrocytes_microglia 23; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Oligodendrocytes 10; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NABP1,4 out of 24,16.67%,Astrocytes_microglia 23; Microglia 1; T_cells 18; Microglia 19
NACA,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NACAD,10 out of 24,41.67%,GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 16; Oligodendrocytes 2; Oligodendrocytes 3; Oligodendrocytes 0; DA_like_neurons 11; DA_neurons 6
NACC1,2 out of 24,8.33%,GABA_neurons_expressing_GLU_receptors 22; GABA_like_neurons 14
NACC2,21 out of 24,87.50%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NADK,10 out of 24,41.67%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Astrocytes 4; Astrocytes 15; Microglia 19; Microglia 1; Endothelial_cells 9; Connective_tissue_cells 21
NADK2,18 out of 24,75.00%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 8; Oligodendrocytes 20; Oligodendrocytes 10; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocytes 2; Astrocytes 15; Oligodendrocytes 0; Oligodendrocytes 3; DA_like_neurons 11; Oligodendrocyte_progenitor_cells 7; Endothelial_cells 9; Connective_tissue_cells 21
NADSYN1,19 out of 24,79.17%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; T_cells 18; Oligodendrocytes 16; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NAE1,21 out of 24,87.50%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NAF1,20 out of 24,83.33%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; Endothelial_cells 9
NAGK,17 out of 24,70.83%,Astrocytes_microglia 23; Oligodendrocytes 0; GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Oligodendrocytes 3; DA_like_neurons 11; Oligodendrocyte_progenitor_cells 7; Microglia 1; Endothelial_cells 9; DA_neurons 6
NAGLU,16 out of 24,66.67%,Astrocytes_microglia 23; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 20; Oligodendrocytes 10; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocytes 16; Oligodendrocytes 2; Oligodendrocytes 3; Astrocytes 15; Microglia 19; Oligodendrocyte_progenitor_cells 7; Microglia 1; Connective_tissue_cells 21
NAGPA,1 out of 24,4.17%,GABA_like_neurons 14
NAIP,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NALCN,20 out of 24,83.33%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Connective_tissue_cells 21; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; DA_neurons 6
NAMPT,19 out of 24,79.17%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Microglia 1; Astrocytes_microglia 23; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Oligodendrocytes 10; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NANOS3,1 out of 24,4.17%,GABA_like_neurons 14
NANS,5 out of 24,20.83%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Microglia 19; Microglia 1; DA_neurons 6
NAP1L1,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NAP1L2,6 out of 24,25.00%,GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; DA_like_neurons 11; DA_neurons 6
NAP1L3,8 out of 24,33.33%,GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11; DA_neurons 6
NAP1L4,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NAP1L5,5 out of 24,20.83%,GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; DA_neurons 6
NAPA,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NAPB,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NAPEPLD,20 out of 24,83.33%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NAPG,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NARF,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NARS,20 out of 24,83.33%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Oligodendrocytes 10; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NARS2,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NASP,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NAT10,17 out of 24,70.83%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 8; Oligodendrocytes 20; Oligodendrocytes 10; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; Oligodendrocytes 0; Oligodendrocytes 2; DA_like_neurons 11; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 7
NAT14,4 out of 24,16.67%,GABA_neurons_expressing_GLU_receptors 22; GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; DA_neurons 6
NAT8L,18 out of 24,75.00%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; Astrocytes 8; Oligodendrocytes 20; Oligodendrocytes 10; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocytes 2; Astrocytes 15; Oligodendrocytes 0; Oligodendrocytes 3; DA_like_neurons 11; Oligodendrocyte_progenitor_cells 7; DA_neurons 6
NAT9,1 out of 24,4.17%,Astrocytes_microglia 23
NAV1,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NAV2,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NAV3,21 out of 24,87.50%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NAXD,5 out of 24,20.83%,GABA_like_neurons 14; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; Connective_tissue_cells 21
NAXE,1 out of 24,4.17%,DA_neurons 6
NBAS,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NBAT1,3 out of 24,12.50%,GABA_neurons_expressing_GLU_receptors 22; Oligodendrocyte_progenitor_cells 12; Oligodendrocyte_progenitor_cells 7
NBDY,23 out of 24,95.83%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NBEA,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NBEAL1,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
NBEAL2,1 out of 24,4.17%,T_cells 18
NBL1,4 out of 24,16.67%,GABA_like_neurons 14; Endothelial_cells 9; DA_neurons 6; Connective_tissue_cells 21
NBN,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NBPF1,21 out of 24,87.50%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
NBPF11,19 out of 24,79.17%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4
